panel_name	mondo_id	gene_symbol_list
spermatogenic failure 19	MONDO:0054723	CFAP43
mandibuloacral dysplasia with type B lipodystrophy	MONDO:0012074	ZMPSTE24
large intestine disease	MONDO:0024634	AKT1 | APC | AURKA | AXIN2 | BAX | BMPR1A | BRAF | BUB1 | BUB1B | CCND1 | CTNNB1 | DCC | DLC1 | EP300 | EPCAM | FAN1 | FGFR3 | FLCN | KRAS | MCC | MLH1 | MLH3 | MSH2 | MSH6 | NRAS | PDGFRL | PIK3CA | PLA2G2A | PMS1 | PMS2 | PTPN12 | PTPRJ | RAD54B | RPS20 | SEMA4A | SRC | TGFBR2 | TLR2 | TP53
autosomal dominant nocturnal frontal lobe epilepsy 1	MONDO:0010899	CHRNA4
neurocutaneous melanocytosis	MONDO:0009578	NRAS
hyperphosphatasia with intellectual disability syndrome 4	MONDO:0014318	PGAP3
autosomal recessive distal spinal muscular atrophy 2	MONDO:0011585	SIGMAR1
arthrogryposis multiplex congenita 4, neurogenic, with agenesis of the corpus callosum	MONDO:0032903	SCYL2
metaphyseal chondrodysplasia, Spahr type	MONDO:0009597	MMP13
deafness, autosomal dominant 78	MONDO:0033665	SLC12A2
Axenfeld anomaly	MONDO:0020368	FOXC1 | PITX2
disorder of plasmalogens biosynthesis	MONDO:0017986	AGPS | FAR1 | GNPAT | PEX5 | PEX7
palmoplantar keratoderma i, striate, focal, or diffuse	MONDO:0007859	DSG1
neoplasm (disease)	MONDO:0005070	ABL1 | ACD | ACTB | AFF1 | AIP | AKT1 | ALK | ANTXR1 | ANTXR2 | APC | AR | ARHGAP26 | ARL11 | ASPSCR1 | ASXL1 | ATF1 | ATM | ATP4A | ATRX | AURKA | AUTS2 | AXIN1 | AXIN2 | BAP1 | BARD1 | BAX | BCL10 | BCL2 | BCL6 | BCOR | BCR | BIRC3 | BLM | BMPR1A | BRAF | BRCA1 | BRCA2 | BRD4 | BRIP1 | BUB1 | BUB1B | C11orf80 | CALR | CAMTA1 | CARD11 | CASP8 | CASR | CBFA2T3 | CBFB | CBL | CCDC6 | CCND1 | CD28 | CDC73 | CDH1 | CDH23 | CDK4 | CDKN1A | CDKN1B | CDKN2A | CDKN2B | CDKN2C | CEBPA | CHEK2 | CHIC2 | CLCN2 | CLTC | CNOT3 | COL1A1 | COQ6 | CREB1 | CREB3L1 | CREB3L2 | CREBBP | CSF3R | CTLA4 | CTNNA1 | CTNNB1 | CYLD | CYSLTR2 | DAXX | DCC | DDIT3 | DDX3X | DEK | DICER1 | DIRC3 | DIS3L2 | DLC1 | DLEC1 | DLST | DNAJB1 | DNMT3A | EGF | EGFR | EHBP1 | EIF1AX | ELAC2 | ELMO2 | EP300 | EPAS1 | EPCAM | EPHB2 | EPHB4 | ERBB3 | ERC1 | ERCC6L2 | ERG | ESR1 | ESR2 | ETV1 | ETV4 | ETV6 | EWSR1 | EXT1 | EXT2 | FAN1 | FGF23 | FGFR1 | FGFR3 | FH | FHIT | FIP1L1 | FLCN | FLI1 | FLT3 | FLT4 | FOXE1 | FOXL2 | FOXO1 | FOXP1 | FUS | GALNT3 | GAS8-AS1 | GATA1 | GATA2 | GATA3 | GCGR | GCM2 | GDNF | GJB2 | GLIS2 | GNA11 | GNA14 | GNAQ | GNAS | GNB1 | GOLGA5 | GPC3 | GPC4 | GPR101 | GRM1 | H19 | HABP2 | HACE1 | HAVCR2 | HLA-C | HLA-DRB1 | HLF | HMGA2 | HMMR | HNF1A | HNF1B | HNRNPH1 | HOXB13 | HRAS | HSPBAP1 | HTRA1 | IDH1 | IDH2 | IGF2 | IGF2R | IGH | IGHG1 | IGHV3-21 | IGHV4-34 | IKZF1 | IKZF3 | IL1B | IL1RN | IL6 | ING1 | INHBA | IPMK | IRF2BP2 | IRX2 | JAK2 | JAZF1 | JMJD1C | KAT6A | KDR | KHDC3L | KIAA1549 | KIF1B | KIT | KITLG | KL | KLF6 | KLHDC8B | KLLN | KMT2A | KRAS | KRT13 | KRT4 | LIG4 | LIN28B | LMO1 | LPAR4 | LPP | LZTR1 | LZTS1 | MAD1L1 | MALT1 | MAP3K6 | MAX | MC1R | MCC | MDM2 | MECOM | MEI1 | MEN1 | MET | MFN2 | MGMT | MINPP1 | MITF | MLH1 | MLH3 | MLLT10 | MLLT3 | MN1 | MPL | MRE11 | MRTFA | MSH2 | MSH3 | MSH6 | MSMB | MTAP | MUTYH | MXI1 | MYB | MYC | MYCN | MYD88 | MYH11 | MYH9 | MYSM1 | NAB2 | NABP1 | NBN | NCOA4 | NDUFA13 | NEK9 | NF1 | NF2 | NFKBIA | NKX2-1 | NLRP7 | NONO | NOTCH3 | NPM1 | NQO2 | NR4A3 | NRAS | NSDHL | NTHL1 | NTRK1 | NTRK2 | NTRK3 | NUMA1 | NUP214 | NUTM1 | NUTM2A | NUTM2B | NUTM2E | OGG1 | OPCML | P2RX7 | PALB2 | PALLD | PAX3 | PAX5 | PAX7 | PAX8 | PBRM1 | PBX1 | PCM1 | PDGFB | PDGFRA | PDGFRB | PDGFRL | PHB | PHOX2B | PICALM | PIK3CA | PIP4K2A | PITX2 | PLA2G2A | PLAG1 | PML | PMS1 | PMS2 | POLD1 | POLE | POT1 | POU6F2 | PPARG | PPM1D | PRCC | PRKACA | PRKAR1A | PRKD1 | PRKN | PRLR | PTCH1 | PTCH2 | PTEN | PTH1R | PTPN11 | PTPN12 | PTPN14 | PTPRJ | QKI | RAD50 | RAD51 | RAD51C | RAD51D | RAD54B | RAD54L | RAF1 | RANBP2 | RARA | RASA1 | RB1 | RB1CC1 | RBM15 | RELA | REST | RET | RNASEL | RNF139 | RNF6 | RPN1 | RPS14 | RPS15 | RPS20 | RRAS | RUNX1 | RUNX1T1 | SALL2 | SAMD9 | SDHA | SDHAF2 | SDHB | SDHC | SDHD | SEMA4A | SET | SF3B1 | SFPQ | SH2B3 | SH3GL1 | SH3PXD2A | SLC22A18 | SLC25A11 | SLC49A4 | SMAD4 | SMARCA4 | SMARCA5 | SMARCB1 | SMARCE1 | SMO | SPRY4 | SRC | SRD5A2 | SRGAP1 | SRGAP3 | SRSF2 | SS18 | SSX1 | SSX2 | STAT3 | STAT5B | STAT6 | STIL | STK11 | SUFU | SUZ12 | TACC1 | TACC3 | TAF15 | TAL1 | TAL2 | TBL1XR1 | TBXT | TCF12 | TCF3 | TCL1A | TERF2IP | TERT | TET2 | TFE3 | TFEB | TFG | TGFBR2 | TGM6 | THPO | TLR2 | TLX1 | TLX3 | TMEM127 | TNFRSF10B | TNFRSF1B | TOP2A | TP53 | TP73 | TPM3 | TPM4 | TPR | TRA | TRAF7 | TRB | TRD | TRG | TRIM24 | TRIM27 | TRIM28 | TRIM33 | TRIP13 | TRPV6 | TSC1 | TSC2 | TYK2 | USP6 | USP8 | VHL | WT1 | WWOX | WWTR1 | XPO1 | XRCC2 | XRCC3 | YAP1 | YWHAE | ZBTB16 | ZFHX3
thrombocythemia 2	MONDO:0011173	MPL
cholecystitis	MONDO:0002155	ABCB4
scapuloperoneal myopathy	MONDO:0000727	FHL1 | MYH7
keratosis follicularis spinulosa decalvans, X-linked	MONDO:0010637	MBTPS2
hypothalamic neoplasm	MONDO:0006799	AIP | CDH23 | GNAS | GPR101 | USP8
partial duplication of chromosome 19	MONDO:0016937	NFIX
Dowling-Degos disease 4	MONDO:0014307	POGLUT1
hereditary folate malabsorption	MONDO:0009238	SLC46A1
adult Krabbe disease	MONDO:0016091	GALC
pseudohypoaldosteronism type 2	MONDO:0019162	CUL3 | KLHL3 | WNK1 | WNK4
Smouldering systemic mastocytosis	MONDO:0015557	KIT
craniosynostosis 2	MONDO:0011481	MSX2
oblique facial cleft	MONDO:0015415	SPECC1L
mucopolysaccharidosis with skin involvement	MONDO:0019302	IDS
intellectual disability, autosomal recessive 59	MONDO:0015020	IMPA1
hypercalcemia, infantile 2	MONDO:0014851	SLC34A1
progressive supranuclear palsy-parkinsonism syndrome	MONDO:0009839	MAPT
Leigh syndrome	MONDO:0009723	COQ2 | COQ9 | COX10 | COX15 | EARS2 | ECHS1 | ETHE1 | FBXL4 | FOXRED1 | LIPT1 | LRPPRC | MT-ATP6 | MT-ND1 | MT-ND2 | MT-ND3 | MT-ND4 | MT-ND5 | MT-ND6 | MT-TK | MT-TL1 | MT-TV | MT-TW | MTFMT | NDUFA10 | NDUFA12 | NDUFA13 | NDUFA2 | NDUFA4 | NDUFA9 | NDUFAF2 | NDUFAF3 | NDUFAF5 | NDUFAF6 | NDUFB8 | NDUFS1 | NDUFS2 | NDUFS3 | NDUFS4 | NDUFS7 | NDUFS8 | NDUFV1 | NDUFV2 | PDHA1 | PDSS2 | PET100 | SCO2 | SDHA | SERAC1 | SLC19A3 | SUCLA2 | SURF1 | TACO1 | TTC19
other syndrome with a central nervous system malformation as major feature	MONDO:0017120	AKT3 | ARNT2 | AXIN1 | B9D1 | B9D2 | CC2D2A | CCND2 | CENPF | CEP290 | CEP55 | CNOT1 | CRB2 | CSPP1 | DCC | FGFR1 | FLVCR2 | GPKOW | GPSM2 | HEPACAM | HESX1 | HYLS1 | JAM3 | KIF14 | KIF7 | LAGE3 | MKS1 | NPHP3 | NSDHL | NUP107 | NUP133 | OSGEP | OTX2 | PIK3R2 | PLAT | PROKR2 | PTEN | ROBO3 | RPGRIP1 | RPGRIP1L | SEPSECS | SLC35A2 | SON | SOX2 | SOX3 | TCTN2 | TMEM107 | TMEM216 | TMEM231 | TMEM67 | TP53RK | TPRKB | TRAPPC12 | TUBA8 | TUBB2B | VANGL1 | VPS53 | WDPCP | WDR4 | WDR73
hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency	MONDO:0009278	HADH
respiratory or mediastinal malformation	MONDO:0020023	DOK7 | GLE1 | LAMA3 | MID1 | MIR17HG | MUSK | MYCN | MYOD1 | NUP88 | RAPSN | RARB | SLC18A3 | SPECC1L | STRA6
variant ABeta2M amyloidosis	MONDO:0017810	B2M
common variable immunodeficiency	MONDO:0015517	CD19 | CD81 | CR2 | ICOS | IKZF1 | IL21 | IRF2BP2 | LRBA | MS4A1 | NFKB1 | NFKB2 | PRKCD | TNFRSF13B | TNFRSF13C | TNFSF12
malformation syndrome with hamartosis	MONDO:0020063	ACTB | ACVRL1 | AKT1 | BRAF | CCND1 | COQ6 | ENG | GDF2 | GNA11 | GNAQ | HRAS | IDH1 | IDH2 | KLLN | KRAS | LZTR1 | MAP2K2 | NF1 | NF2 | NRAS | PIK3CA | PORCN | PTCH1 | PTCH2 | PTEN | PTH1R | PTPN11 | RAF1 | RASA1 | SDHB | SDHC | SDHD | SEC23B | SMAD4 | SMARCB1 | SPRED1 | STK11 | SUFU | USF3 | VHL
neurodevelopmental disorder with microcephaly, epilepsy, and hypomyelination	MONDO:0032705	MTHFS
syndromic aniridia	MONDO:0020148	BDNF | ITPR1 | PAX6 | WT1
primary interstitial lung disease in childhood and adulthood	MONDO:0017031	SFTPC
dentinogenesis imperfecta (disease)	MONDO:0018849	DSPP
atrial fibrillation, familial, 6	MONDO:0012816	NPPA
sleep-wake disorder	MONDO:0003406	CSNK1D | CTSH | DNMT1 | HCRT | HLA-DQB1 | HLA-DRB1 | MOG | P2RY11 | PER2 | PER3 | TNFSF4 | ZNF365
spinocerebellar ataxia type 27	MONDO:0012247	FGF14
congenital heart defects and skeletal malformations syndrome	MONDO:0060532	ABL1
autosomal recessive nonsyndromic deafness 101	MONDO:0014363	GRXCR2
congenital muscular dystrophy due to integrin alpha-7 deficiency	MONDO:0013177	ITGA7
Partington syndrome	MONDO:0010654	ARX
cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3	MONDO:0014667	COA5
mitochondrial complex III deficiency nuclear type 5	MONDO:0014066	UQCRC2
familial cerebral cavernous malformation 1	MONDO:0020724	KRIT1
familial thoracic aortic aneurysm and aortic dissection	MONDO:0019625	ACTA2 | ELN | FBN1 | FOXE3 | LOX | MAT2A | MFAP5 | MYH11 | MYLK | PRKG1 | SMAD3 | SMAD4 | TGFB2 | TGFB3 | TGFBR1 | TGFBR2
hematological disease associated with an acquired peripheral neuropathy	MONDO:0016180	CCND1 | LIG4 | MYD88
cardiomyopathy, familial hypertrophic 27	MONDO:0054838	ALPK3
band heterotopia of brain	MONDO:0010873	EML1
dysostosis of genetic origin with limb anomaly as a major feature	MONDO:0018455	ADAMTS10 | ADAMTS17 | AFF4 | AKT3 | APC | ARHGAP31 | ARID1A | ARID1B | ARID2 | B3GALT6 | B9D1 | B9D2 | BHLHA9 | BMP2 | BMPR1B | BRCA1 | BRCA2 | BRIP1 | BTRC | C2CD3 | CC2D2A | CCND2 | CCNQ | CDH3 | CEP290 | CEP55 | CERS3 | CHSY1 | CIBAR1 | CILK1 | CKAP2L | CPLANE1 | CREBBP | CSPP1 | DACT1 | DDX59 | DHCR7 | DHODH | DLL4 | DLX5 | DLX6 | DOCK6 | DPF2 | EFNB1 | EFTUD2 | EOGT | EP300 | EPS15L1 | ERCC4 | EVC | EVC2 | FAM149B1 | FANCA | FANCB | FANCC | FANCD2 | FANCE | FANCF | FANCG | FANCI | FANCL | FANCM | FBLN1 | FBN1 | FGF10 | FGF16 | FGF9 | FGFR1 | FGFR2 | FGFR3 | GDF5 | GDF6 | GJA1 | GLI1 | GLI2 | GLI3 | HDAC4 | HDAC8 | HOXA11 | HOXA13 | HOXD13 | HPGD | IFT57 | IHH | INTU | IQCE | KIAA0753 | KIAA0825 | KIF14 | KIF7 | KMT2A | LMBR1 | LMNA | LRP4 | LTBP2 | MACROH2A1 | MAD2L2 | MAP3K20 | MECOM | MEGF8 | MGP | MIR17HG | MKS1 | MYCN | MYH8 | MYSM1 | NECTIN4 | NEK1 | NIPBL | NOG | NOTCH1 | NPHP3 | OFD1 | PALB2 | PDE3A | PDE4D | PDE6D | PGAP2 | PGAP3 | PIGL | PIGO | PIGV | PIGW | PIGY | PIK3R2 | PITX1 | POC1A | POLR1A | PRKAR1A | PTHLH | RAB23 | RAD21 | RAD51 | RAD51C | RBM8A | RBPJ | RECQL4 | RFWD3 | ROR2 | RPGRIP1 | RPGRIP1L | RSPO2 | SALL1 | SALL4 | SEM1 | SETD5 | SF3B4 | SHH | SLX4 | SMARCA2 | SMARCA4 | SMARCB1 | SMARCC2 | SMARCD1 | SMARCE1 | SMC1A | SMC3 | SMO | SOX11 | SOX4 | SUFU | TBX15 | TBX3 | TBX4 | TBX5 | TCTN2 | TCTN3 | TELO2 | TGDS | THPO | TMEM107 | TMEM216 | TMEM231 | TMEM67 | TP63 | TRPV4 | TWIST1 | UBE2T | WDPCP | WNT10B | WNT3 | WNT7A | XRCC2 | XRCC4 | ZNF141 | ZSWIM6
idiopathic inherited hypercalciuria	MONDO:0016352	ADCY10
Charcot-Marie-Tooth disease type 4	MONDO:0018995	EGR2 | FGD4 | FIG4 | GDAP1 | HK1 | MTMR2 | NDRG1 | PRX | SBF1 | SBF2 | SH3TC2 | SURF1
12q15q21.1 microdeletion syndrome	MONDO:0017334	CNOT2
congenital tricuspid malformation	MONDO:0020289	FLNA | MYH7
myasthenia gravis	MONDO:0009688	CTLA4 | HLA-DQA1 | TNFRSF11A
tyrosinemia	MONDO:0004741	FAH | HPD | TAT
inclusion body myopathy with Paget disease of bone and frontotemporal dementia	MONDO:0000507	HNRNPA1 | HNRNPA2B1 | VCP
hypophosphatemic rickets, autosomal recessive, 2	MONDO:0013219	ENPP1
protoplasmic astrocytoma	MONDO:0016687	IDH2
arthrogryposis multiplex congenita 1, neurogenic, with myelin defect	MONDO:0060486	LGI4
disorder of phospholipids, sphingolipids and fatty acids biosynthesis	MONDO:0018117	ABHD12 | ABHD5 | AGK | ALDH3A2 | ATL1 | ATL3 | CERS1 | CHKB | DNMT1 | ELOVL4 | ELOVL5 | FA2H | NADK2 | PANK2 | PNPLA2 | PNPLA6 | SELENOI | SERAC1 | SGPL1 | SLC25A4 | SPTLC1 | SPTLC2 | ST3GAL5 | TAFAZZIN | TKFC
leukemia (disease)	MONDO:0005059	ABL1 | AFF1 | ARHGAP26 | ARL11 | ASXL1 | ATM | AUTS2 | BAX | BCOR | BCR | BRAF | CBFA2T3 | CBFB | CBL | CCND1 | CDKN2A | CEBPA | CHIC2 | CNOT3 | CREBBP | CSF3R | DDX3X | DEK | DNMT3A | ERBB3 | ERCC6L2 | ETV6 | FIP1L1 | FLT3 | FOXP1 | GATA1 | GATA2 | GATA3 | GLIS2 | GNB1 | HLA-C | HLF | HNRNPH1 | IGH | IGHG1 | IGHV3-21 | IGHV4-34 | IKZF1 | IKZF3 | IRF2BP2 | JAK2 | KAT6A | KIT | KMT2A | KRAS | LPP | MECOM | MLLT10 | MLLT3 | MRTFA | MYB | MYC | MYH11 | NABP1 | NBN | NF1 | NPM1 | NRAS | NUMA1 | NUP214 | P2RX7 | PAX5 | PBX1 | PDGFRA | PDGFRB | PICALM | PIP4K2A | PML | POT1 | PRKAR1A | PTPN11 | RARA | RBM15 | RPN1 | RPS15 | RRAS | RUNX1 | RUNX1T1 | SALL2 | SET | SH3GL1 | SRSF2 | STAT3 | STAT5B | STIL | TAL1 | TAL2 | TBL1XR1 | TCF3 | TCL1A | TERT | TET2 | TGM6 | TLX1 | TLX3 | TP53 | TRA | TRB | TRD | TRG | ZBTB16
epileptic encephalopathy, infantile or early childhood, 2	MONDO:0020631	GABRB2
